frame,prep time,face detect time,custom landmark time,landmark 68 time,,,,,
1,0.6527266,0.0293815,0.0071106,0.0033022,,0.011388877,0.007902705,0.007410789,0.006786691
2,0.0039614,0.0125216,0.0036225,0.0029049,,,,,
3,0.0032363,0.0042082,0.0049016,0.003028,,,,,
4,0.0060608,0.0075139,0.0039424,0.0032229,,,,,
5,0.0028974,0.0037726,0.0075676,0.0043665,,,,,
6,0.0027393,0.0033244,0.0065723,0.0090036,,,,,
7,0.0029386,0.0075032,0.0039034,0.0078427,,,,,
8,0.0040553,0.0075843,0.008811,0.0079426,,,,,
9,0.0055777,0.009096,0.0083527,0.0080205,,,,,
10,0.0029076,0.0100462,0.0068332,0.008536,,,,,
11,0.0053893,0.0063838,0.0090447,0.0092518,,,,,
12,0.0038604,0.0061741,0.0099829,0.0083917,,,,,
13,0.0026361,0.0114798,0.0098286,0.0075016,,,,,
14,0.0050576,0.005965,0.0091397,0.0093234,,,,,
15,0.0027659,0.0068547,0.0095797,0.0093347,,,,,
16,0.0033011,0.0097458,0.0092772,0.0071532,,,,,
17,0.0053646,0.0059532,0.0091852,0.0152264,,,,,
18,0.005913,0.0076785,0.008545,0.0085058,,,,,
19,0.002775,0.0129929,0.008857,0.0082542,,,,,
20,0.003734,0.0082395,0.0084377,0.0078296,,,,,
21,0.0053287,0.0049668,0.0080823,0.0033801,,,,,
22,0.0055129,0.0069641,0.0084033,0.0083226,,,,,
23,0.0054036,0.0073058,0.0089306,0.0071499,,,,,
24,0.0069341,0.0080427,0.0075393,0.0065279,,,,,
25,0.0056461,0.0036695,0.003433,0.0030059,,,,,
26,0.0027465,0.0062483,0.0081053,0.0077316,,,,,
27,0.0063309,0.0073479,0.0079961,0.0071915,,,,,
28,0.0176611,0.0072563,0.0069407,0.0033888,,,,,
29,0.0178255,0.0063445,0.008597,0.007254,,,,,
30,0.0059242,0.0075428,0.008788,0.0075961,,,,,
31,0.0057762,0.0068735,0.0036651,0.0054468,,,,,
32,0.0026773,0.005811,0.0095831,0.0071048,,,,,
33,0.0055592,0.0069567,0.0069459,0.002995,,,,,
34,0.0026297,0.007291,0.0163398,0.0086372,,,,,
35,0.0053474,0.0077034,0.0086679,0.0093684,,,,,
36,0.0030272,0.0065395,0.006494,0.0098563,,,,,
37,0.0036521,0.0072658,0.0047838,0.0088208,,,,,
38,0.0072325,0.0063885,0.0034378,0.0065057,,,,,
39,0.0031708,0.0074772,0.006416,0.0059204,,,,,
40,0.0060428,0.0080145,0.0064841,0.0030168,,,,,
41,0.0034869,0.008871,0.0072586,0.0062258,,,,,
42,0.005108,0.0074126,0.0043752,0.0108802,,,,,
43,0.0045262,0.0112009,0.0055726,0.0097197,,,,,
44,0.0053016,0.0111528,0.007094,0.0074198,,,,,
45,0.0036205,0.0077642,0.007557,0.0079869,,,,,
46,0.005274,0.007358,0.0066605,0.0046741,,,,,
47,0.0031167,0.008379,0.0067669,0.0058339,,,,,
48,0.0042865,0.0103965,0.0085882,0.0071434,,,,,
49,0.0029969,0.0081917,0.0072074,0.0064068,,,,,
50,0.0096904,0.0098034,0.0061754,0.0072982,,,,,
51,0.0351682,0.0029802,0.0033196,0.0025534,,,,,
52,0.0022136,0.0118199,0.0064418,0.0105946,,,,,
53,0.0048375,0.0080482,0.0071375,0.0060498,,,,,
54,0.0042767,0.0057952,0.0039799,0.0073956,,,,,
55,0.0030417,0.0095473,0.0059118,0.0050417,,,,,
56,0.0043735,0.0114239,0.0071683,0.0075094,,,,,
57,0.0057549,0.0097487,0.0056094,0.0067448,,,,,
58,0.0039487,0.0069681,0.0074061,0.003114,,,,,
59,0.0020681,0.0119417,0.0035708,0.005887,,,,,
60,0.0027264,0.0061103,0.0084042,0.0102269,,,,,
61,0.0038176,0.0069987,0.0092644,0.0073225,,,,,
62,0.002598,0.0050104,0.0084917,0.0073574,,,,,
63,0.0029208,0.0060785,0.0042896,0.0030934,,,,,
64,0.0056324,0.0062232,0.0041939,0.0058561,,,,,
65,0.0044833,0.0073467,0.0085691,0.009382,,,,,
66,0.0018393,0.0079049,0.0093107,0.0050021,,,,,
67,0.0026398,0.0062843,0.0090786,0.0077692,,,,,
68,0.0062876,0.0071498,0.0069544,0.0026279,,,,,
69,0.0017453,0.0057591,0.0098299,0.0067523,,,,,
70,0.0068228,0.0071909,0.0082495,0.0068338,,,,,
71,0.0055663,0.0074398,0.0080237,0.0064116,,,,,
72,0.0029157,0.0070702,0.0097162,0.0060901,,,,,
73,0.0027333,0.0072155,0.0090316,0.0082015,,,,,
74,0.0029841,0.0074579,0.0066414,0.006712,,,,,
75,0.0053408,0.0039876,0.0043192,0.0062976,,,,,
76,0.0039716,0.0057292,0.0075435,0.0035719,,,,,
77,0.0053701,0.0066074,0.00426,0.0049739,,,,,
78,0.0018661,0.0116534,0.0084768,0.0030546,,,,,
79,0.0042185,0.0083984,0.0075975,0.0062221,,,,,
80,0.0029592,0.0074693,0.007244,0.0066251,,,,,
81,0.002906,0.0073942,0.006868,0.0054501,,,,,
82,0.0027841,0.0057552,0.0072159,0.005707,,,,,
83,0.0047763,0.0059414,0.0090373,0.0068588,,,,,
84,0.0028908,0.0106371,0.010267,0.0087566,,,,,
85,0.0047444,0.0083017,0.0089634,0.0097481,,,,,
