frame,face detect time,custom landmark time,landmark 68 time,,,,,,,,,,
1,0.0212592,0.0069594,0.006366,,0.03484004,0.005730331,0.005471888,frame,face detect time,,,,
2,0.0371655,0.0032613,0.003457,,34.84004,,,1,0.0212592,,,,
3,0.0196583,0.0040374,0.0036743,,,,,2,0.0371655,,,,
4,0.024192,0.0060565,0.0031745,,,,,3,0.0196583,,,,
5,0.0245945,0.0071385,0.0056132,,,,,4,0.024192,,,,
6,0.0471115,0.0094106,0.0073261,,,,,5,0.0245945,,,,
7,0.042461,0.0066348,0.0075222,,,,,6,0.0471115,,,,
8,0.0364938,0.0068036,0.0068987,,,,,7,0.042461,,,,
9,0.0396444,0.0071229,0.0030673,,,,,8,0.0364938,,,,
10,0.0348064,0.0109063,0.0030359,,,,,9,0.0396444,,,,
11,0.040999,0.0057675,0.0066379,,,,,10,0.0348064,,,,
12,0.0356135,0.0065769,0.0057306,,,,,..,…,,,,
13,0.0464643,0.0034128,0.0058697,,,,,90,0.0356749,,,,
14,0.032341,0.0092009,0.0075132,,,,,91,0.0320852,,,,
15,0.0411052,0.0061507,0.003149,,,,,92,0.0344474,,,,
16,0.0375572,0.0065789,0.0051875,,,,,93,0.0318444,,,,
17,0.036368,0.0079309,0.0031333,,,,,94,0.0313089,,,,
18,0.0356433,0.0080733,0.0046434,,,,,95,0.0293447,,,,
19,0.0390921,0.0081812,0.0067642,,,,,96,0.0361413,,,,
20,0.0392338,0.0032155,0.0055775,,,,,97,0.0276785,,,,
21,0.0334021,0.0075776,0.0057352,,,,,98,0.0359979,,,,
22,0.0293415,0.0059062,0.0031564,,,,,99,0.0370031,,,,
23,0.0364684,0.0035085,0.0064452,,,,,100,0.0369965,,,,
24,0.0297029,0.0031893,0.0061125,,,,,,,,,,
25,0.0345528,0.0028334,0.0054932,,,,,,,,,,
26,0.033837,0.0032247,0.006023,,,,,frame,face detect time,,,,
27,0.0351587,0.0068213,0.005782,,,,,1,0.0293815,,,,
28,0.0327917,0.0030173,0.0055442,,,,,2,0.0125216,,,,
29,0.0283274,0.0090761,0.0040661,,,,,3,0.0042082,,,,
30,0.0280999,0.006099,0.0052659,,,,,4,0.0075139,,,,
31,0.0324946,0.0055003,0.0033336,,,,,5,0.0037726,,,,
32,0.0315604,0.0033073,0.0058225,,,,,6,0.0033244,,,,
33,0.0318103,0.0031524,0.0056671,,,,,7,0.0075032,,,,
34,0.0351288,0.0029991,0.0054844,,,,,8,0.0075843,,,,
35,0.0275285,0.0062865,0.0054089,,,,,9,0.009096,,,,
36,0.033497,0.0029871,0.0060433,,,,,10,0.0100462,,,,
37,0.0422653,0.0100057,0.0084865,,,,,..,…,,,,
38,0.0432947,0.0078066,0.0057203,,,,,90,0.0076475,,,,
39,0.0348883,0.006216,0.0036823,,,,,91,0.0086299,,,,
40,0.0359819,0.0069376,0.0097543,,,,,92,0.0041896,,,,
41,0.0340912,0.006384,0.0067647,,,,,93,0.0044709,,,,
42,0.0366776,0.0081676,0.0069393,,,,,94,0.0066568,,,,
43,0.0268197,0.0063397,0.0058232,,,,,95,0.0083144,,,,
44,0.0350176,0.0035714,0.0039389,,,,,96,0.0090548,,,,
45,0.0334289,0.0030479,0.0055152,,,,,97,0.0130711,,,,
46,0.0310266,0.0032965,0.0057162,,,,,98,0.0085628,,,,
47,0.0358227,0.0058927,0.0034355,,,,,99,0.0158335,,,,
48,0.0341937,0.0055586,0.0056639,,,,,100,0.0091701,,,,
49,0.030101,0.0029682,0.0053811,,,,,,,,,,
50,0.0329438,0.00538,0.0068726,,,,,frame,prep time,,,,
51,0.0324779,0.0051293,0.0059182,,,,,1,0.6527266,,,,
52,0.0323115,0.0029372,0.0058814,,,,,2,0.0039614,,,,
53,0.0383497,0.0055696,0.0063213,,,,,3,0.0032363,,,,
54,0.0379021,0.0057169,0.0052836,,,,,4,0.0060608,,,,
55,0.0363133,0.0059759,0.0039762,,,,,5,0.0028974,,,,
56,0.0400272,0.0057658,0.0031291,,,,,6,0.0027393,,,,
57,0.0335428,0.0061589,0.0064312,,,,,7,0.0029386,,,,
58,0.0324628,0.005695,0.0035677,,,,,8,0.0040553,,,,
59,0.0299555,0.0067409,0.002981,,,,,9,0.0055777,,,,
60,0.0343344,0.0062541,0.0065811,,,,,10,0.0029076,,,,
61,0.0330882,0.0031899,0.0059979,,,,,..,…,,,,
62,0.0350457,0.00629,0.0029638,,,,,90,0.0072661,,,,
63,0.0365868,0.0059632,0.0028788,,,,,91,0.0058989,,,,
64,0.0355063,0.0033149,0.0058032,,,,,92,0.0054503,,,,
65,0.0342354,0.0066414,0.0069011,,,,,93,0.0054526,,,,
66,0.0369629,0.006274,0.0055093,,,,,94,0.0052468,,,,
67,0.037895,0.0057281,0.006163,,,,,95,0.004638,,,frame,prep time
68,0.0319042,0.0034871,0.006656,,,,,96,0.0051023,,,1,0.6527266
69,0.0357369,0.0047132,0.007267,,,,,97,0.003587,,,2,0.0039614
70,0.0450846,0.0102134,0.0032702,,,,,98,0.0061451,,,3,0.0032363
71,0.0375434,0.0071891,0.0064765,,,,,99,0.002545,,,4,0.0060608
72,0.0378324,0.0057976,0.0068756,,,,,100,0.0019382,,,5,0.0028974
73,0.0414663,0.0056413,0.0028783,,,,,,,,,6,0.0027393
74,0.0359039,0.0087851,0.0031689,,,,,,,,,7,0.0029386
75,0.0411576,0.0065774,0.0032085,,,,,,,,,8,0.0040553
76,0.040897,0.0068039,0.0053711,,,,,,,,,9,0.0055777
77,0.0337029,0.0041752,0.0069375,,,,,,,,,10,0.0029076
78,0.0336013,0.0054542,0.0033231,,,,,,,,,..,…
79,0.0418215,0.0048226,0.0060368,,,,,,,,,90,0.0072661
80,0.037171,0.0071672,0.0060955,,,,,,,,,91,0.0058989
81,0.0349322,0.0064244,0.0073578,,,,,,,,,92,0.0054503
82,0.0366467,0.0038804,0.0027501,,,,,,,,,93,0.0054526
83,0.0341699,0.0060611,0.0029923,,,,,,,,,94,0.0052468
84,0.0384231,0.0048324,0.0058768,,,,,,,,,95,0.004638
85,0.0424497,0.0027049,0.0049409,,,,,,,,,96,0.0051023
86,0.0322007,0.0064074,0.005934,,,,,,,,,97,0.003587
87,0.0366282,0.0048043,0.0061882,,,,,,,,,98,0.0061451
88,0.0243759,0.0146275,0.0097291,,,,,,,,,99,0.002545
89,0.0327753,0.0028273,0.0066554,,,,,,,,,100,0.0019382
90,0.0356749,0.0061246,0.0057008,,,,,,,,,,
91,0.0320852,0.006796,0.0059169,,,,,,,,,,
92,0.0344474,0.0040021,0.0058919,,,,,,,,,,
93,0.0318444,0.0028561,0.0068874,,,,,,,,,,
94,0.0313089,0.003054,0.0055444,,,,,,,,,,
95,0.0293447,0.0045737,0.007166,,,,,,,,,,
96,0.0361413,0.006065,0.0059915,,,,,,,,,,
97,0.0276785,0.0071411,0.0058757,,,,,,,,,,
98,0.0359979,0.0065628,0.0062842,,,,,,,,,,
99,0.0370031,0.0057779,0.0063556,,,,,,,,,,
100,0.0369965,0.0028592,0.0058779,,,,,,,,,,
101,0.0274805,0.0080734,0.0062738,,,,,,,,,,
102,0.0340207,0.0045395,0.0032124,,,,,,,,,,
103,0.0331596,0.0057265,0.0033707,,,,,,,,,,
104,0.0371101,0.0030287,0.005114,,,,,,,,,,
105,0.0369148,0.005641,0.003137,,,,,,,,,,
106,0.0329517,0.0030339,0.005119,,,,,,,,,,
107,0.0346725,0.0057334,0.0037699,,,,,,,,,,
108,0.0393845,0.0061495,0.0029612,,,,,,,,,,
109,0.0329368,0.0059713,0.0035966,,,,,,,,,,
110,0.0358994,0.0052446,0.0030613,,,,,,,,,,
111,0.0305826,0.006874,0.0031267,,,,,,,,,,
112,0.0278283,0.0053937,0.0060924,,,,,,,,,,
113,0.0288935,0.0070674,0.0060341,,,,,,,,,,
114,0.0365696,0.0061508,0.0063745,,,,,,,,,,
115,0.0351569,0.0049885,0.003377,,,,,,,,,,
116,0.0301132,0.0028319,0.0057361,,,,,,,,,,
117,0.0410548,0.0056482,0.0060507,,,,,,,,,,
118,0.0367985,0.0068872,0.0057233,,,,,,,,,,
119,0.0336253,0.0028603,0.0063052,,,,,,,,,,
120,0.0396187,0.0031931,0.0058444,,,,,,,,,,
121,0.0277128,0.0065851,0.0062359,,,,,,,,,,
122,0.0338814,0.0031313,0.0063111,,,,,,,,,,
123,0.0287314,0.0041651,0.0061082,,,,,,,,,,
124,0.0353175,0.0071355,0.0064374,,,,,,,,,,
125,0.0359387,0.0061839,0.0050569,,,,,,,,,,
126,0.0359016,0.0060079,0.0028232,,,,,,,,,,
127,0.0325387,0.0062388,0.0027837,,,,,,,,,,
128,0.0335523,0.0060699,0.005728,,,,,,,,,,
129,0.0325987,0.0041299,0.0071418,,,,,,,,,,
130,0.0321166,0.0028899,0.0057036,,,,,,,,,,
131,0.0351106,0.0055883,0.0031358,,,,,,,,,,
132,0.027555,0.0057174,0.005923,,,,,,,,,,
133,0.0397325,0.0041902,0.0055978,,,,,,,,,,
134,0.0262375,0.0103482,0.0078688,,,,,,,,,,
135,0.0325653,0.0075207,0.0031003,,,,,,,,,,
136,0.0353516,0.0070665,0.0066593,,,,,,,,,,
137,0.0337306,0.0055203,0.0039214,,,,,,,,,,
138,0.034047,0.0046982,0.0055991,,,,,,,,,,
139,0.0356877,0.0058437,0.0030484,,,,,,,,,,
140,0.0377095,0.0032406,0.0048408,,,,,,,,,,
141,0.0287716,0.0073641,0.0061696,,,,,,,,,,
142,0.0339296,0.0060166,0.0028483,,,,,,,,,,
143,0.0336491,0.0056346,0.003057,,,,,,,,,,
144,0.0367549,0.005593,0.0049527,,,,,,,,,,
145,0.033266,0.0055933,0.0030965,,,,,,,,,,
146,0.0359809,0.0050211,0.006849,,,,,,,,,,
147,0.035914,0.0072096,0.0064722,,,,,,,,,,
148,0.0323723,0.0028043,0.0064881,,,,,,,,,,
149,0.0341497,0.0054518,0.003135,,,,,,,,,,
150,0.0319539,0.005507,0.0044728,,,,,,,,,,
151,0.0410638,0.005981,0.0059581,,,,,,,,,,
152,0.03361,0.0037629,0.0052629,,,,,,,,,,
153,0.034195,0.0061683,0.0028585,,,,,,,,,,
154,0.0305591,0.0061642,0.0030978,,,,,,,,,,
155,0.0366126,0.0052584,0.0047109,,,,,,,,,,
156,0.0318192,0.0039549,0.004628,,,,,,,,,,
157,0.0316712,0.006786,0.0031723,,,,,,,,,,
158,0.0339531,0.0056637,0.0029658,,,,,,,,,,
159,0.029774,0.0096445,0.0033403,,,,,,,,,,
160,0.0340976,0.0061456,0.0030731,,,,,,,,,,
161,0.0325971,0.0030679,0.0057974,,,,,,,,,,
162,0.0323699,0.0065223,0.0029969,,,,,,,,,,
163,0.0334108,0.0060346,0.0030369,,,,,,,,,,
164,0.0404261,0.0062924,0.003319,,,,,,,,,,
