frame;prep time;facedetect time;landmark time;waktu
1;0,6157272;0,0059763;0,0078927;01:21:53,
2;0,0033659;0,0069128;0,0039027;01:21:54,
3;0,0023197;0,0055893;0,0036049;01:21:54,
4;0,0042354;0,0077887;0,0049407;01:21:54,
5;0,0027073;0,0034061;0,0067267;01:21:54,
6;0,0026656;0,0038332;0,0076289;01:21:54,
7;0,0027978;0,0070487;0,0044709;01:21:54,
8;0,0028315;0,0085702;0,0042166;01:21:54,
9;0,0059881;0,0092978;0,005244;01:21:54,
10;0,0042642;0,0088565;0,0077057;01:21:54,
11;0,0042192;0,008577;0,0074019;01:21:54,
12;0,0081802;0,0081999;0,0069054;01:21:54,
13;0,0024345;0,0085181;0,0069638;01:21:54,
14;0,0033745;0,0079028;0,0086447;01:21:54,
15;0,0064679;0,0076581;0,0078495;01:21:54,
16;0,0041074;0,0074838;0,0079032;01:21:54,
17;0,0039266;0,0068399;0,0079867;01:21:54,
18;0,0041634;0,0069178;0,0075484;01:21:54,
19;0,0038886;0,00565;0,0081369;01:21:54,
20;0,004664;0,0067971;0,0079468;01:21:54,
21;0,0035345;0,0092528;0,0052528;01:21:54,
22;0,0047456;0,0076244;0,0071609;01:21:54,
23;0,002638;0,0088456;0,0053189;01:21:54,
24;0,0064373;0,007034;0,0058964;01:21:54,
25;0,0052315;0,0059894;0,0070176;01:21:54,
26;0,0050423;0,0050746;0,0047441;01:21:54,
27;0,0034193;0,0060427;0,0073415;01:21:54,
28;0,0045447;0,006365;0,0067089;01:21:54,
29;0,0049069;0,0045128;0,004276;01:21:54,
30;0,015949;0,0069187;0,0034153;01:21:54,
31;0,0068383;0,0080771;0,0029475;01:21:54,
32;0,0035626;0,0108933;0,0069285;01:21:54,
33;0,005476;0,0086502;0,0073172;01:21:54,
34;0,00272;0,0126409;0,0057628;01:21:55,
35;0,0047231;0,0082642;0,0066193;01:21:55,
36;0,0048746;0,0047083;0,0092382;01:21:55,
37;0,0259945;0,0066215;0,0089397;01:21:55,
38;0,0025267;0,0079905;0,0072885;01:21:55,
39;0,0048082;0,0062793;0,0089567;01:21:55,
40;0,0027186;0,0058137;0,0079652;01:21:55,
41;0,0112686;0,0071276;0,0073411;01:21:55,
42;0,0030721;0,0058308;0,0045926;01:21:55,
43;0,0094831;0,0040856;0,0069382;01:21:55,
44;0,0191644;0,0058858;0,0029847;01:21:55,
45;0,0172644;0,0072646;0,0039163;01:21:55,
46;0,002567;0,0083702;0,0072245;01:21:55,
47;0,0064276;0,0122986;0,007083;01:21:55,
48;0,0051275;0,0095136;0,0038566;01:21:55,
49;0,0117531;0,0096676;0,0072341;01:21:55,
50;0,0109759;0,008968;0,0045711;01:21:55,
51;0,0032735;0,0072707;0,0032201;01:21:55,
52;0,0033253;0,0078219;0,0059856;01:21:55,
53;0,0045602;0,008794;0,0047184;01:21:55,
54;0,0105226;0,0071804;0,0030583;01:21:55,
55;0,0103204;0,008999;0,0064981;01:21:55,
56;0,0032768;0,0078626;0,0055177;01:21:55,
57;0,0111758;0,0083452;0,0065845;01:21:55,
58;0,0028395;0,0080007;0,0060425;01:21:55,
59;0,0051847;0,0108611;0,0042731;01:21:55,
60;0,0052575;0,01051;0,0034621;01:21:55,
61;0,003522;0,0058546;0,0031279;01:21:55,
62;0,0130588;0,0079174;0,0065177;01:21:55,
63;0,009981;0,008477;0,0032238;01:21:55,
64;0,0098006;0,0048919;0,0034968;01:21:55,
65;0,0140064;0,0076321;0,003368;01:21:56,
66;0,003645;0,0054947;0,0034822;01:21:56,
67;0,0101013;0,0063042;0,0037035;01:21:56,
68;0,0032924;0,0062159;0,0032259;01:21:56,
69;0,0270357;0,0093439;0,0072544;01:21:56,
70;0,0096068;0,0104367;0,0070217;01:21:56,
71;0,0070371;0,00573;0,0044433;01:21:56,
72;0,0021351;0,0037312;0,0038056;01:21:56,
73;0,0094854;0,0041226;0,0068735;01:21:56,
74;0,0188586;0,0036906;0,0042606;01:21:56,
75;0,0186557;0,0091223;0,0069169;01:21:56,
76;0,0101961;0,0102065;0,0069427;01:21:56,
77;0,0075114;0,0073201;0,0032868;01:21:56,
78;0,0034563;0,0063663;0,0032417;01:21:56,
79;0,0035896;0,0089571;0,0062068;01:21:56,
80;0,009939;0,0081196;0,0029988;01:21:56,
81;0,0086211;0,0060325;0,0032603;01:21:56,
82;0,0097288;0,0060253;0,0036658;01:21:56,
83;0,0055693;0,0072349;0,0039659;01:21:56,
84;0,003805;0,0056777;0,0032369;01:21:56,
85;0,0368536;0,0100709;0,0049064;01:21:56,
86;0,0101044;0,0140705;0,0042135;01:21:56,
87;0,0162667;0,0100353;0,0072154;01:21:56,
88;0,0056356;0,0124178;0,0041282;01:21:56,
89;0,0052769;0,010103;0,0065847;01:21:56,
90;0,0028738;0,0082142;0,0065127;01:21:56,
91;0,0044292;0,005291;0,0085323;01:21:56,
92;0,0049176;0,0065185;0,0047105;01:21:56,
93;0,0052209;0,0056572;0,0047869;01:21:56,
94;0,0043953;0,0076188;0,004274;01:21:56,
95;0,0036514;0,0032203;0,005524;01:21:57,
96;0,0041404;0,0059733;0,0063197;01:21:57,
97;0,0423829;0,0088501;0,0058958;01:21:57,
98;0,0080778;0,0126165;0,0060385;01:21:57,
99;0,0077628;0,0131836;0,0066392;01:21:57,
100;0,0029693;0,0122907;0,0065974;01:21:57,
101;0,003158;0,0166589;0,0067295;01:21:57,
102;0,0027223;0,0092173;0,0071448;01:21:57,
103;0,0017761;0,0054739;0,0034555;01:21:57,
104;0,0025684;0,0048631;0,0037994;01:21:57,
105;0,0026599;0,0112081;0,005189;01:21:57,
106;0,0046042;0,0047915;0,0049663;01:21:57,
107;0,0046132;0,0059255;0,0056469;01:21:57,
108;0,0042868;0,0111232;0,0045251;01:21:57,
109;0,0030293;0,0079263;0,0104168;01:21:57,
110;0,0027988;0,00549;0,0053078;01:21:57,
111;0,0046263;0,0045908;0,0090896;01:21:57,
112;0,0074582;0,0070296;0,0069243;01:21:57,
113;0,0088842;0,0076736;0,008801;01:21:57,
114;0,0086695;0,0045157;0,0106406;01:21:57,
115;0,00823;0,0085505;0,0065436;01:21:57,
116;0,0127959;0,007592;0,0062038;01:21:57,
117;0,0124958;0,006347;0,0064166;01:21:57,
118;0,0098839;0,0074836;0,0030364;01:21:57,
119;0,0037174;0,00408;0,003458;01:21:57,
120;0,0047558;0,0060745;0,0056807;01:21:57,
121;0,0121844;0,0037574;0,0036716;01:21:57,
122;0,0124612;0,00721;0,0040393;01:21:57,
123;0,0121967;0,0074709;0,0031108;01:21:57,
124;0,0117927;0,0070725;0,0032869;01:21:57,
125;0,0045128;0,0039078;0,0043094;01:21:58,
126;0,0068302;0,0096932;0,0034652;01:21:58,
127;0,0188624;0,0087219;0,0040105;01:21:58,
128;0,0126061;0,0076623;0,0064951;01:21:58,
129;0,0032791;0,0040281;0,0037105;01:21:58,
130;0,0071468;0,0082449;0,0032553;01:21:58,
131;0,0045388;0,0042132;0,0037409;01:21:58,
132;0,0049473;0,0077681;0,0065276;01:21:58,
133;0,010971;0,0039913;0,0050207;01:21:58,
134;0,0128486;0,0077426;0,0058871;01:21:58,
135;0,0135125;0,003746;0,0053007;01:21:58,
136;0,0167982;0,0072432;0,0031599;01:21:58,
137;0,013754;0,0109341;0,0034865;01:21:58,
138;0,0057874;0,009502;0,0033308;01:21:58,
139;0,003465;0,0049487;0,0037078;01:21:58,
140;0,0107785;0,0078891;0,0030866;01:21:58,
141;0,0158334;0,007764;0,0028114;01:21:58,
142;0,0091988;0,0036011;0,0075643;01:21:58,
143;0,003556;0,0037649;0,0038595;01:21:58,
144;0,0046798;0,0053149;0,0037187;01:21:58,
145;0,0498406;0,0087794;0,007916;01:21:58,
146;0,0132754;0,015393;0,0081227;01:21:58,
147;0,0023753;0,0115074;0,0040261;01:21:58,
148;0,0028339;0,0124094;0,0035271;01:21:58,
149;0,0027052;0,0064455;0,0059344;01:21:58,
150;0,0029067;0,0077039;0,0062098;01:21:58,
151;0,0026681;0,0056256;0,0072734;01:21:58,
152;0,0027153;0,0053347;0,0035508;01:21:58,
153;0,0025658;0,004996;0,003947;01:21:58,
