frame,prep time,facedetect time,landmark time
1,0.658739,0.006393,0.0047504
2,0.0033122,0.0058495,0.0041311
3,0.0030295,0.0057713,0.0035222
4,0.0072388,0.0123723,0.0067835
5,0.0046905,0.0095737,0.010578
6,0.0065063,0.0048129,0.003245
7,0.0026529,0.0042562,0.006939
8,0.0054001,0.0085031,0.0040492
9,0.0019265,0.0180814,0.0100953
10,0.0027333,0.0119527,0.0087895
11,0.0059797,0.0089282,0.0088871
12,0.0044499,0.007002,0.0094003
13,0.0040445,0.0070873,0.0068869
14,0.0060263,0.0096322,0.0081426
15,0.0053053,0.0070144,0.0095606
16,0.0043491,0.0092978,0.009241
17,0.002815,0.0086139,0.0120543
18,0.002888,0.006973,0.0128906
19,0.0048684,0.0080525,0.0079481
20,0.0027517,0.0080144,0.0115219
21,0.0027936,0.0075207,0.0089209
22,0.0028032,0.0062554,0.0085979
23,0.0028061,0.0063887,0.0086885
24,0.002604,0.0083998,0.0081041
25,0.0027609,0.0056166,0.0075679
26,0.003202,0.0061195,0.0080874
27,0.0245274,0.0060867,0.0040112
28,0.0024608,0.0043025,0.0047015
29,0.0051375,0.0079668,0.007559
30,0.0040635,0.0077104,0.0077653
31,0.0024281,0.0070308,0.0078011
32,0.0026527,0.0098904,0.0057536
33,0.0024274,0.0058552,0.0069042
34,0.002472,0.0063339,0.0068012
35,0.0053225,0.0077945,0.0052468
36,0.0026163,0.0082327,0.0062318
37,0.0097221,0.0064093,0.0041816
38,0.0105308,0.0070979,0.0068268
39,0.0022068,0.0075639,0.0057244
40,0.0020672,0.0085129,0.0062529
41,0.0068393,0.0090699,0.0080037
42,0.0048459,0.005465,0.0038308
43,0.0027722,0.0120102,0.0097478
44,0.0025043,0.0069169,0.0067154
45,0.0124548,0.0070837,0.008524
46,0.0030946,0.0083572,0.00868
47,0.0172037,0.0038237,0.0075037
48,0.0137953,0.0079958,0.006095
49,0.0096219,0.0043414,0.0081292
50,0.0114439,0.0041376,0.0045413
51,0.0051298,0.0066134,0.0030849
52,0.0024138,0.0074891,0.0074959
53,0.0013837,0.0074101,0.0068065
54,0.0115397,0.0112246,0.0037528
55,0.0129382,0.0127531,0.0038278
56,0.0028549,0.0093895,0.0047623
57,0.0054423,0.0089917,0.0067334
58,0.0080327,0.0078597,0.0047805
59,0.0027967,0.007739,0.0075898
60,0.0063609,0.0092022,0.0042987
61,0.0133935,0.0105665,0.0035771
62,0.0122541,0.007995,0.0052628
63,0.0032609,0.0076631,0.0075585
64,0.0024283,0.0081682,0.0070054
65,0.0026662,0.0047735,0.0041114
66,0.0224436,0.0103143,0.0052338
67,0.0069588,0.0146634,0.010669
68,0.002471,0.0105512,0.011509
69,0.0022072,0.0059441,0.0075012
70,0.0027354,0.0073179,0.0068218
71,0.002093,0.0053233,0.0040069
72,0.0117024,0.0074194,0.0072436
73,0.0104444,0.0073807,0.0073001
74,0.0101841,0.0059506,0.0064715
75,0.0065402,0.0048662,0.0046543
76,0.0153256,0.0072638,0.0035694
77,0.0169215,0.0098712,0.007255
78,0.0074319,0.0103746,0.0035389
79,0.0038661,0.0083047,0.0034281
80,0.0063676,0.013809,0.0085767
81,0.0037701,0.0073735,0.0075031
82,0.0019291,0.0085068,0.0069065
83,0.0312887,0.0093869,0.0045852
84,0.0124245,0.01453,0.004822
85,0.0026854,0.0143184,0.0083678
86,0.0028396,0.0140194,0.0095577
87,0.0029892,0.007857,0.0081997
88,0.0028315,0.0075819,0.0088703
89,0.0028341,0.0083515,0.0090205
90,0.0029975,0.0137507,0.0060765
91,0.0030642,0.0140322,0.0058082
92,0.0028877,0.0142373,0.00599
93,0.0028149,0.0125993,0.0039365
94,0.002969,0.0134512,0.0057215
95,0.0028566,0.0102806,0.0041117
96,0.002473,0.0086161,0.0076005
97,0.0021422,0.012874,0.0060462
98,0.0049136,0.0090405,0.0066883
99,0.0023384,0.0068598,0.006649
100,0.0019032,0.0076092,0.007258
101,0.0047188,0.0043784,0.0051919
102,0.0027023,0.0054189,0.0065789
103,0.0027909,0.0105088,0.0085617
104,0.002695,0.0078688,0.0110759
105,0.0022,0.0060323,0.0082615
106,0.0026608,0.007128,0.0134359
107,0.0027298,0.0058441,0.009693
108,0.0053513,0.0079771,0.0091406
109,0.0065977,0.008291,0.0101303
110,0.0055504,0.0067017,0.0050198
111,0.0058624,0.0084252,0.0139662
112,0.0037067,0.005043,0.0086332
113,0.0038816,0.0048525,0.0070773
114,0.0037534,0.0057304,0.0067706
115,0.0130343,0.0071584,0.0073142
116,0.0131037,0.0065203,0.0030173
117,0.0108875,0.008312,0.0045801
118,0.0128024,0.0063439,0.0034669
119,0.0039274,0.0071238,0.0032913
120,0.0064402,0.0073336,0.0063483
121,0.0054809,0.0075171,0.0076838
122,0.0035724,0.005636,0.0074214
123,0.006237,0.0073301,0.0057035
124,0.0255107,0.0069312,0.0030976
125,0.015514,0.0102859,0.0064436
126,0.0039427,0.0064832,0.0036178
127,0.0017554,0.0062908,0.0066227
128,0.009112,0.0078054,0.0062107
129,0.0095374,0.0091596,0.006891
130,0.0024303,0.007746,0.0074582
131,0.0102342,0.0098932,0.0069975
132,0.0043298,0.00783,0.0062078
133,0.0029451,0.011458,0.0055471
134,0.0020166,0.0130974,0.0060293
135,0.0019709,0.0071962,0.0079383
136,0.0019835,0.0063691,0.0055051
137,0.0021078,0.005428,0.0037876
138,0.014139,0.0112629,0.0034303
139,0.0083146,0.0085206,0.0037287
140,0.0057264,0.007293,0.0065489
141,0.0153398,0.0065617,0.0036132
142,0.0157438,0.0076569,0.0070948
143,0.0555972,0.0037038,0.0077181
144,0.0042187,0.0151564,0.0078577
